id,type,district,lon,lat,level
N_1298,junction,บางขุนเทียน,100.40434,13.60677,-1
N_1299,junction,ทวีวัฒนา,100.35901,13.7613,-1
N_13,junction,บางขุนเทียน,100.39462,13.59244,-1
N_130,junction,ธนบุรี,100.46906,13.71662,-1
N_1300,junction,ทวีวัฒนา,100.35998,13.75336,-1
N_1301,junction,ทวีวัฒนา,100.34417,13.75167,-1
N_1302,junction,จอมทอง,100.46838,13.66677,-1
N_1303,junction,จอมทอง,100.47544,13.66759,-1
N_1304,junction,บางขุนเทียน,100.47152,13.65249,-1
N_1305,junction,บางขุนเทียน,100.46865,13.65201,-1
N_1306,junction,ตลิ่งชัน,100.46326,13.79738,-1
N_1307,junction,ตลิ่งชัน,100.45926,13.79306,-1
N_1308,junction,บางแค,100.39967,13.69562,-1
N_1309,junction,บางแค,100.39883,13.69772,-1
N_131,junction,ราษฎร์บูรณะ,100.50114,13.66949,-1
N_1310,junction,จอมทอง,100.46724,13.67153,-1
N_1311,junction,จอมทอง,100.47094,13.6722,-1
N_1312,junction,ปทุมวัน,100.5461,13.73414,-1
N_1313,junction,คลองเตย,100.56067,13.72541,-1
N_1314,junction,จอมทอง,100.47456,13.66885,-1
N_1315,junction,จอมทอง,100.47034,13.67505,-1
N_1316,junction,ราษฎร์บูรณะ,100.51308,13.68421,-1
N_1317,junction,ราษฎร์บูรณะ,100.51101,13.67713,-1
N_1318,junction,บางแค,100.39772,13.69484,-1
N_1319,junction,บางแค,100.39683,13.69704,-1
N_132,junction,ราษฎร์บูรณะ,100.51101,13.66665,-1
N_1320,junction,บางแค,100.39509,13.69061,-1
N_1321,junction,บางแค,100.40231,13.6925,-1
N_1322,junction,ทุ่งครุ,100.47001,13.66021,-1
N_1323,junction,ทุ่งครุ,100.47566,13.66291,-1
N_1324,junction,บางแค,100.41608,13.72805,-1
N_1325,junction,บางแค,100.4163,13.72662,-1
N_1326,junction,หนองจอก,100.82677,13.86405,-1
N_1327,junction,หนองจอก,100.81842,13.85756,-1
N_1328,junction,ตลิ่งชัน,100.42364,13.74362,-1
N_1329,junction,ตลิ่งชัน,100.42289,13.74501,-1
N_133,junction,บางพลัด,100.51709,13.80217,-1
N_1330,junction,ยานนาวา,100.5379,13.68215,-1
N_1331,junction,ยานนาวา,100.53333,13.67054,-1
N_1332,junction,จตุจักร,100.56696,13.79486,-1
N_1333,junction,จตุจักร,100.56691,13.81068,-1
N_1334,junction,คลองสาน,100.50664,13.71599,-1
N_1335,junction,คลองสาน,100.50973,13.71444,-1
N_1336,junction,บางบอน,100.40033,13.64113,-1
N_1337,junction,บางบอน,100.37649,13.61977,-1
N_1338,junction,วัฒนา,100.59729,13.71103,-1
N_1339,junction,บางแค,100.41723,13.72814,-1
N_134,junction,บางพลัด,100.51445,13.80285,-1
N_1340,junction,บางแค,100.41743,13.72653,-1
N_1341,junction,สวนหลวง,100.6515,13.7181,-1
N_1342,junction,ตลิ่งชัน,100.45333,13.74362,-1
N_1343,junction,ตลิ่งชัน,100.45311,13.7456,-1
N_1344,junction,คลองเตย,100.59341,13.70917,-1
N_1345,junction,คลองเตย,100.58135,13.69838,-1
N_1346,junction,สวนหลวง,100.64003,13.71407,-1
N_1347,junction,สวนหลวง,100.65025,13.71286,-1
N_1348,junction,บางขุนเทียน,100.42619,13.61492,-1
N_1349,junction,คลองสาน,100.50502,13.7092,-1
N_135,junction,ตลิ่งชัน,100.41944,13.76206,-1
N_1350,junction,คลองสาน,100.49921,13.71581,-1
N_1351,junction,ลาดกระบัง,100.84088,13.69728,-1
N_1352,junction,ลาดกระบัง,100.84362,13.70401,-1
N_1353,junction,บางขุนเทียน,100.43989,13.62461,-1
N_1354,junction,บางขุนเทียน,100.43001,13.66751,-1
N_1355,junction,ตลิ่งชัน,100.45264,13.74389,-1
N_1356,junction,ตลิ่งชัน,100.45256,13.74533,-1
N_1357,junction,บางบอน,100.4278,13.68755,-1
N_1358,junction,บางขุนเทียน,100.47254,13.63805,-1
N_1359,junction,ภาษีเจริญ,100.42421,13.74353,-1
N_136,junction,ตลิ่งชัน,100.41959,13.76381,-1
