quality_issue_fact_key,district_key,issue_type,severity,entity_type,entity_id,source_layer,source_path,spatial_hash_geohash7,polygon_district_code,review_status,requires_manual_review
b481e55312620cddcac2531c2419366cb3912b37008466afee43163bce383d5c,1019,unresolved_asset_owner,high,drainage_asset,canals:5446,canals,data/geojson/canals.geojson,w4rqkcj,,unresolved,1
6e0746b88a370065014d408eea9808525328c41f8cd1561ed0948c8d725bf481,1019,unresolved_asset_owner,high,drainage_asset,canals:5447,canals,data/geojson/canals.geojson,w4rqkch,,unresolved,1
1d756fa2748683c997f6d5dbb27866a3a7a9b67d29c4ef0a76e674e7e18c322e,1019,unresolved_asset_owner,high,drainage_asset,canals:5448,canals,data/geojson/canals.geojson,w4rqkch,,unresolved,1
c2494eb44c8e16c697b040f8e3a3630a0b8e07b9c95673c19981382135c22e1b,1019,unresolved_asset_owner,high,drainage_asset,canals:5449,canals,data/geojson/canals.geojson,w4rqm0u,,unresolved,1
56bc85bff200193b6618bc089dc2e863251ebe2494d16feeb7b9076dca154dfa,1019,unresolved_asset_owner,high,drainage_asset,canals:5450,canals,data/geojson/canals.geojson,w4rqmch,,unresolved,1
34146a9d4d8e9a9e43a2be3f79b8a2febf28fa85d225f8d831446ec6950577a8,1019,unresolved_asset_owner,high,drainage_asset,canals:5451,canals,data/geojson/canals.geojson,w4rqm17,,unresolved,1
c0360b855d8a215964fa1e0eeebcc0bea603c3d19c12e4e5056a20914da80fe2,1019,unresolved_asset_owner,high,drainage_asset,canals:5452,canals,data/geojson/canals.geojson,w4rqm16,,unresolved,1
61536c83f49d1b58e18208d56267cd743e5fc19533376076c671ea701a408ce1,1019,unresolved_asset_owner,high,drainage_asset,canals:5453,canals,data/geojson/canals.geojson,w4rqm13,,unresolved,1
ae0bf4ae7495fffa33d2f6318168981664b6d580cd92cf679d4ae3cb5c6c4300,1019,unresolved_asset_owner,high,drainage_asset,canals:5454,canals,data/geojson/canals.geojson,w4rqm3v,,unresolved,1
25ee298d690a1ad462ad889ecb2292e997138229235a9a6e94e6b43ac6730f46,1019,unresolved_asset_owner,high,drainage_asset,canals:5455,canals,data/geojson/canals.geojson,w4rqm3f,,unresolved,1
441b4d5aa686467bbc3169ea0f7b84ff2abd28ef6fd1965790a49bb2ccb1e168,1019,unresolved_asset_owner,high,drainage_asset,canals:5456,canals,data/geojson/canals.geojson,w4rqkfj,,unresolved,1
fa4a53278517afb715b654e117eaee0060eeea7569462b53f82780f06ae71a13,1019,unresolved_asset_owner,high,drainage_asset,canals:5457,canals,data/geojson/canals.geojson,w4rqm4y,,unresolved,1
2dd36165e8af7b5cdf01b430c051c3438e652730afca45e471f80d3ff3248a6b,1019,unresolved_asset_owner,high,drainage_asset,canals:5458,canals,data/geojson/canals.geojson,w4rqm4x,,unresolved,1
a8f7178e97fd06abbf54fabf0a52c5361905273964b795d747f36c4046183542,1019,unresolved_asset_owner,high,drainage_asset,canals:5459,canals,data/geojson/canals.geojson,w4rqm5j,,unresolved,1
2764d0d721f472aa3bfea42874977034fa1d1f051b601c052fe6287d5912fdf8,1019,unresolved_asset_owner,high,drainage_asset,canals:5470,canals,data/geojson/canals.geojson,w4rqqh9,,unresolved,1
c0ee3338863dc862e6247e416ad82f464292009f99161499221808d0c53bc47e,1019,unresolved_asset_owner,high,drainage_asset,canals:5471,canals,data/geojson/canals.geojson,w4rqmmr,,unresolved,1
e60835c1f6e8a540780de677485a85309b75a4719c4d664050827e1729b24d4b,1019,unresolved_asset_owner,high,drainage_asset,canals:5472,canals,data/geojson/canals.geojson,w4rqqjh,,unresolved,1
ff07b92ef335496d316ff6dfd233031d2f19be73ccaa6a90391f717f0fa0b69c,1021,unresolved_asset_owner,high,drainage_asset,canals:5482,canals,data/geojson/canals.geojson,w4rkvn9,,unresolved,1
41dfc9335f05fa0ce425ff909e7d68f2715467d5bb79da479672cd3c21e65cca,1021,unresolved_asset_owner,high,drainage_asset,canals:5483,canals,data/geojson/canals.geojson,w4rmjr2,,unresolved,1
e08b719e681e8104ffdb052d5ed9ec2259ddf8639edc2081772976c81aac3e5f,1021,unresolved_asset_owner,high,drainage_asset,canals:5490,canals,data/geojson/canals.geojson,w4rmq5r,,unresolved,1
